diogo@gmail.com,Fruit,Maçã,0.5,20
diogo@gmail.com,Fruit,Laranja,0.7,47
diogo@gmail.com,Vegetable,Cenoura,0.3,39
antonyfarmer@gmail.com,Fruit,Banana,0.5,22
antonyfarmer@gmail.com,Vegetable,Batata,2.3,22
antonyfarmer@gmail.com,Vegetable,Alface,0.5,22
sarafarmer@gmail.com,Cereal,Aveia,1.0,10
sarafarmer@gmail.com,Fruit,Pêssego,1.5,20
antonyfarmer@gmail.com,Cereal,Aveia,2.1,22
antonyfarmer@gmail.com,Vegetable,Beterraba,0.8,19
antonyfarmer@gmail.com,Fruit,Melancia,2.3,21
antonyfarmer@gmail.com,Fruit,Melão,2.5,22
